Loan_ID,,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount
LP002555,,Male,Yes,2,Graduate,Yes,4583,2083,360,1,Semiurban,Y,160
LP002560,,Male,No,0,Not Graduate,No,2699,2785,360,,Semiurban,Y,96
LP002562,,Male,Yes,1,Not Graduate,No,5333,1131,360,,Urban,Y,186
LP002571,,Male,No,0,Not Graduate,No,3691,0,360,1,Rural,Y,110
LP002582,,Female,No,0,Not Graduate,Yes,17263,0,360,1,Semiurban,Y,225
LP002586,,Female,Yes,1,Graduate,No,3326,913,84,1,Semiurban,Y,105
LP002587,,Male,Yes,0,Not Graduate,No,2600,1700,360,1,Rural,Y,107
LP002588,,Male,Yes,0,Graduate,No,4625,2857,12,,Urban,Y,111
LP002600,,Male,Yes,1,Graduate,Yes,2895,0,360,1,Semiurban,Y,95
LP002603,,Female,No,0,Graduate,No,645,3683,480,1,Rural,Y,113
LP002606,,Female,No,0,Graduate,No,3159,0,360,1,Semiurban,Y,100
LP002615,,Male,Yes,2,Graduate,No,4865,5624,360,1,Semiurban,Y,208
LP002619,,Male,Yes,0,Not Graduate,No,3814,1483,300,1,Semiurban,Y,124
LP002622,,Male,Yes,2,Graduate,No,3510,4416,360,1,Rural,Y,243
LP002624,,Male,Yes,0,Graduate,No,20833,6667,360,,Urban,Y,480
LP002626,,Male,Yes,0,Graduate,Yes,2479,3013,360,1,Urban,Y,188
LP002634,,Female,No,1,Graduate,No,13262,0,360,1,Urban,Y,40
LP002640,,Male,Yes,1,Graduate,No,6065,2004,360,1,Semiurban,Y,250
LP002643,,Male,Yes,2,Graduate,No,3283,2035,360,1,Urban,Y,148
LP002659,,Male,Yes,3+,Graduate,No,3466,3428,360,1,Rural,Y,150
LP002670,,Female,Yes,2,Graduate,No,2031,1632,480,1,Semiurban,Y,113
LP002689,,Male,Yes,2,Not Graduate,No,2192,1742,360,1,Semiurban,Y,45
LP002690,,Male,No,0,Graduate,No,2500,0,360,1,Semiurban,Y,55
LP002692,,Male,Yes,3+,Graduate,Yes,5677,1424,360,1,Rural,Y,100
LP002693,,Male,Yes,2,Graduate,Yes,7948,7166,360,1,Rural,Y,480
LP002699,,Male,Yes,2,Graduate,Yes,17500,0,360,1,Rural,Y,400
LP002705,,Male,Yes,0,Graduate,No,3775,0,360,1,Semiurban,Y,110
LP002706,,Male,Yes,1,Not Graduate,No,5285,1430,360,0,Semiurban,Y,161
LP002714,,Male,No,1,Not Graduate,No,2679,1302,360,1,Semiurban,Y,94
LP002716,,Male,No,0,Not Graduate,No,6783,0,360,1,Semiurban,Y,130
LP002717,,Male,Yes,0,Graduate,No,1025,5500,360,,Rural,Y,216
LP002720,,Male,Yes,3+,Graduate,No,4281,0,360,1,Urban,Y,100
LP002731,,Female,No,0,Not Graduate,Yes,18165,0,360,1,Urban,Y,125
LP002732,,Male,No,0,Not Graduate,,2550,2042,360,1,Rural,Y,126
LP002734,,Male,Yes,0,Graduate,No,6133,3906,360,1,Urban,Y,324
LP002738,,Male,No,2,Graduate,No,3617,0,360,1,Semiurban,Y,107
LP002740,,Male,Yes,3+,Graduate,No,6417,0,180,1,Rural,Y,157
LP002741,,Female,Yes,1,Graduate,No,4608,2845,180,1,Semiurban,Y,140
LP002753,,Female,No,1,Graduate,,3652,0,360,1,Semiurban,Y,95
LP002755,,Male,Yes,1,Not Graduate,No,2239,2524,360,1,Urban,Y,128
LP002757,,Female,Yes,0,Not Graduate,No,3017,663,360,,Semiurban,Y,102
LP002767,,Male,Yes,0,Graduate,No,2768,1950,360,1,Rural,Y,155
LP002772,,Male,No,0,Graduate,No,2526,1783,360,1,Rural,Y,145
LP002777,,Male,Yes,0,Graduate,No,2785,2016,360,1,Rural,Y,110
LP002784,,Male,Yes,1,Not Graduate,No,2492,2375,360,1,Rural,Y,
LP002785,,Male,Yes,1,Graduate,No,3333,3250,360,1,Urban,Y,158
LP002792,,Male,Yes,1,Graduate,No,5468,1032,360,1,Semiurban,Y,26
LP002794,,Female,No,0,Graduate,No,2667,1625,360,,Urban,Y,84
LP002795,,Male,Yes,3+,Graduate,Yes,10139,0,360,1,Semiurban,Y,260
LP002798,,Male,Yes,0,Graduate,No,3887,2669,360,1,Semiurban,Y,162
LP002804,,Female,Yes,0,Graduate,No,4180,2306,360,1,Semiurban,Y,182
LP002807,,Male,Yes,2,Not Graduate,No,3675,242,360,1,Semiurban,Y,108
LP002813,,Female,Yes,1,Graduate,Yes,19484,0,360,1,Semiurban,Y,600
LP002820,,Male,Yes,0,Graduate,No,5923,2054,360,1,Rural,Y,211
LP002821,,Male,No,0,Not Graduate,Yes,5800,0,360,1,Semiurban,Y,132
LP002833,,Male,Yes,0,Not Graduate,No,4467,0,360,,Rural,Y,120
LP002836,,Male,No,0,Graduate,No,3333,0,360,1,Urban,Y,70
LP002842,,Male,Yes,1,Graduate,No,3417,1750,360,1,Urban,Y,186
LP002855,,Male,Yes,2,Graduate,No,16666,0,360,1,Urban,Y,275
LP002868,,Male,Yes,2,Graduate,No,3159,461,84,1,Urban,Y,108
LP002874,,Male,No,0,Graduate,No,3229,2739,360,1,Urban,Y,110
LP002877,,Male,Yes,1,Graduate,No,1782,2232,360,1,Rural,Y,107
LP002888,,Male,No,0,Graduate,,3182,2917,360,1,Urban,Y,161
LP002892,,Male,Yes,2,Graduate,No,6540,0,360,1,Semiurban,Y,205
LP002894,,Female,Yes,0,Graduate,No,3166,0,360,1,Semiurban,Y,36
LP002916,,Male,Yes,0,Graduate,No,2297,1522,360,1,Urban,Y,104
LP002917,,Female,No,0,Not Graduate,No,2165,0,360,1,Semiurban,Y,70
LP002925,,,No,0,Graduate,No,4750,0,360,1,Semiurban,Y,94
LP002928,,Male,Yes,0,Graduate,No,3000,3416,180,1,Semiurban,Y,56
LP002933,,,No,3+,Graduate,Yes,9357,0,360,1,Semiurban,Y,292
LP002936,,Male,Yes,0,Graduate,No,3859,3300,180,1,Rural,Y,142
LP002938,,Male,Yes,0,Graduate,Yes,16120,0,360,1,Urban,Y,260
LP002940,,Male,No,0,Not Graduate,No,3833,0,360,1,Rural,Y,110
LP002945,,Male,Yes,0,Graduate,Yes,9963,0,360,1,Rural,Y,180
LP002948,,Male,Yes,2,Graduate,No,5780,0,360,1,Urban,Y,192
LP002950,,Male,Yes,0,Not Graduate,,2894,2792,360,1,Rural,Y,155
LP002953,,Male,Yes,3+,Graduate,No,5703,0,360,1,Urban,Y,128
LP002958,,Male,No,0,Graduate,No,3676,4301,360,1,Rural,Y,172
LP002959,,Female,Yes,1,Graduate,No,12000,0,360,1,Semiurban,Y,496
LP002961,,Male,Yes,1,Graduate,No,3400,2500,360,1,Semiurban,Y,173
LP002964,,Male,Yes,2,Not Graduate,No,3987,1411,360,1,Rural,Y,157
LP002974,,Male,Yes,0,Graduate,No,3232,1950,360,1,Rural,Y,108
LP002978,,Female,No,0,Graduate,No,2900,0,360,1,Rural,Y,71
LP002979,,Male,Yes,3+,Graduate,No,4106,0,180,1,Rural,Y,40
LP002983,,Male,Yes,1,Graduate,No,8072,240,360,1,Urban,Y,253
LP002984,,Male,Yes,2,Graduate,No,7583,0,360,1,Urban,Y,187
