ApplicantIncome,CoapplicantIncome,Credit_History,Female,Male,Gender_nan,Notmarried,Married,0Dependent,1Dependent,2Dependent,3+Dependent,Graduate,Not grad,Notselfemp,Selfempl,Rural,Semiurban,Urban,LoanAmount
2083,3150,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,128
10833,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,234
8333,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,246
1958,2436,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,131
4583,2083,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,160
2699,2785,,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,96
5333,1131,,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,186
3691,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,110
17263,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,225
3326,913,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,105
2600,1700,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,107
4625,2857,,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,111
2895,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,95
645,3683,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,113
3159,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,100
4865,5624,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,208
3814,1483,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,124
3510,4416,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,243
20833,6667,,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,480
2479,3013,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,188
13262,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,40
6065,2004,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,250
3283,2035,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,148
3466,3428,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,150
2031,1632,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,113
2192,1742,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,45
2500,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,55
5677,1424,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,100
7948,7166,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,480
17500,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,400
3775,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,110
5285,1430,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,161
2679,1302,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,94
6783,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,130
1025,5500,,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,216
4281,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,100
18165,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,125
2550,2042,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,126
6133,3906,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,324
3617,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,107
6417,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,157
4608,2845,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,140
3652,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,95
2239,2524,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,128
3017,663,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,102
2768,1950,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,155
2526,1783,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,145
2785,2016,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,110
2492,2375,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,
3333,3250,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,158
5468,1032,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,26
2667,1625,,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,84
10139,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,260
3887,2669,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,162
4180,2306,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,182
3675,242,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,108
19484,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,600
5923,2054,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,211
5800,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,132
4467,0,,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,120
3333,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,70
3417,1750,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,186
16666,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,275
3159,461,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,108
3229,2739,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,110
1782,2232,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,107
3182,2917,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,161
6540,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,205
3166,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,36
2297,1522,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,104
2165,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,70
4750,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,94
3000,3416,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,56
9357,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,292
3859,3300,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,142
16120,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,260
3833,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,110
9963,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,180
5780,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,192
2894,2792,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,155
5703,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,128
3676,4301,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,172
12000,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,496
3400,2500,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,173
3987,1411,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,157
3232,1950,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,108
2900,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,71
4106,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,40
8072,240,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,253
7583,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,187
